en-CA;CDGS2020EFDP;5169625800;OL_DR20;649;549;;CA$ 100;-15%;($90)
de-DE;ESDCDGS2020AM;206392;OL_DR20;719;609;;15 %;-15%;($105)
en-AU;ESDCDGS2020AM;206415;OL_DR20;1,099;934;;15%;-15%;($117)
en-GB;CDGS2020EFDP;5169625800;OL_DR20;599;509;;15%;-15%;($90)
en-US;CDGS2020EFDP;5169625800;OL_DR20;499;424;;$75;-15%;($75)
fr-FR;ESDCDGS2020AM;206392;OL_DR20;719;609;;15 %;-15%;($105)
ja-JP;ESDCDGS2020AM;206415;OL_DR20;79,560;67,580;;15%;-15%;($8,878)
pt-BR;ESDCDGS2020AM;5169626100;OL_DR20;2.899;2.464;;15%;-15%;($360)
